time,tpx,px,mpx,tvx,vx,mbax
0.285000,142.642080,142.516272,nan,499.995859,499.996327,-0.026662
0.286000,143.142576,143.016269,nan,499.995839,499.996302,-0.025687
0.287000,143.643072,143.516265,nan,499.995818,499.996319,0.015380
0.288000,144.143568,144.016261,nan,499.995798,499.996281,-0.038479
0.289000,144.644064,144.516258,nan,499.995778,499.996280,-0.001141
0.290000,145.144559,145.016254,nan,499.995757,499.996277,-0.003907
0.291000,145.645055,145.516250,nan,499.995737,499.996292,0.014671
0.292000,146.145551,146.016246,nan,499.995717,499.996283,-0.010548
0.293000,146.646047,146.516243,nan,499.995696,499.996243,-0.040395
0.294000,147.146542,147.016239,nan,499.995676,499.996245,0.001375
0.295000,147.647038,147.516235,nan,499.995656,499.996229,-0.016657
0.296000,148.147533,148.016231,nan,499.995636,499.996199,-0.030032
0.297000,148.648029,148.516228,nan,499.995616,499.996171,-0.029304
0.298000,149.148525,149.016224,nan,499.995596,499.996166,-0.005688
0.299000,149.649020,149.516220,nan,499.995576,499.996160,-0.006657
0.300000,150.149516,150.016216,nan,499.995556,499.996137,-0.023078
0.301000,150.650011,150.516212,nan,499.995536,499.996093,-0.044420
0.302000,151.150507,151.016208,nan,499.995516,499.996067,-0.026695
0.303000,151.651002,151.516204,nan,499.995496,499.996052,-0.016196
0.304000,152.151498,152.016200,nan,499.995476,499.996042,-0.010669
0.305000,152.651993,152.516196,nan,499.995456,499.996031,-0.011347
0.306000,153.152489,153.016192,nan,499.995436,499.996015,-0.016845
0.307000,153.652984,153.516188,nan,499.995416,499.995988,-0.027320
0.308000,154.153480,154.016184,nan,499.995396,499.995966,-0.023141
0.309000,154.653975,154.516180,nan,499.995377,499.995955,-0.011476
0.310000,155.154470,155.016176,nan,499.995357,499.995914,-0.041981
0.311000,155.654966,155.516172,nan,499.995337,499.995874,-0.040199
0.312000,156.155461,156.016168,nan,499.995317,499.995865,-0.010166
0.313000,156.655956,156.516164,nan,499.995297,499.995847,-0.018545
0.314000,157.156451,157.016160,nan,499.995277,499.995848,0.000735
0.315000,157.656947,157.516156,nan,499.995257,499.995825,-0.024080
0.316000,158.157442,158.016151,nan,499.995237,499.995808,-0.017423
0.317000,158.657937,158.516147,nan,499.995218,499.995770,-0.039262
0.318000,159.158432,159.016143,nan,499.995198,499.995725,-0.045489
0.319000,159.658928,159.516139,nan,499.995178,499.995665,-0.060942
0.320000,160.159423,160.016134,nan,499.995158,499.995645,-0.020652
0.321000,160.659918,160.516130,nan,499.995138,499.995643,-0.001766
0.322000,161.160413,161.016126,nan,499.995118,499.995634,-0.009881
0.323000,161.660908,161.516121,nan,499.995098,499.995597,-0.037547
0.324000,162.161403,162.016117,nan,499.995078,499.995582,-0.016217
0.325000,162.661898,162.516112,nan,499.995058,499.995563,-0.019450
0.326000,163.162393,163.016108,nan,499.995038,499.995536,-0.027652
0.327000,163.662888,163.516103,nan,499.995018,499.995538,0.001426
0.328000,164.163383,164.016099,nan,499.994998,499.995489,-0.049290
0.329000,164.663878,164.516094,nan,499.994977,499.995440,-0.049841
0.330000,165.164373,165.016090,nan,499.994957,499.995423,-0.017280
0.331000,165.664868,165.516085,nan,499.994937,499.995421,-0.003486
0.332000,166.165363,166.016081,nan,499.994917,499.995401,-0.020473
0.333000,166.665858,166.516076,nan,499.994897,499.995358,-0.042917
0.334000,167.166353,167.016071,nan,499.994876,499.995375,0.016248
0.335000,167.666848,167.516067,nan,499.994856,499.995383,0.006454
0.336000,168.167342,168.016062,nan,499.994836,499.995392,0.008546
0.337000,168.667837,168.516058,nan,499.994816,499.995370,-0.021967
0.338000,169.168332,169.016053,nan,499.994795,499.995323,-0.047993
0.339000,169.668827,169.516048,nan,499.994775,499.995295,-0.028937
0.340000,170.169321,170.016043,nan,499.994754,499.995270,-0.025350
0.341000,170.669816,170.516039,nan,499.994734,499.995256,-0.014739
0.342000,171.170311,171.016034,nan,499.994714,499.995257,0.001049
0.343000,171.670806,171.516029,nan,499.994693,499.995223,-0.034950
0.344000,172.171300,172.016024,nan,499.994673,499.995204,-0.020027
0.345000,172.671795,172.516020,nan,499.994652,499.995211,0.007326
0.346000,173.172290,173.016015,nan,499.994631,499.995205,-0.006919
0.347000,173.672784,173.516010,nan,499.994611,499.995167,-0.038047
0.348000,174.173279,174.016005,nan,499.994590,499.995152,-0.016274
0.349000,174.673773,174.516000,nan,499.994570,499.995105,-0.046986
0.350000,175.174268,175.015995,nan,499.994549,499.995069,-0.036280
0.351000,175.674762,175.515990,nan,499.994528,499.995018,-0.051692
0.352000,176.175257,176.015985,nan,499.994507,499.995015,-0.003603
0.353000,176.675751,176.515980,nan,499.994487,499.994988,-0.027779
0.354000,177.176246,177.015975,nan,499.994466,499.994991,0.003012
0.355000,177.676740,177.515970,nan,499.994445,499.994953,-0.038949
0.356000,178.177235,178.015965,nan,499.994424,499.994974,0.020459
0.357000,178.677729,178.515960,nan,499.994404,499.994980,0.006009
0.358000,179.178223,179.015955,nan,499.994383,499.994959,-0.022165
0.359000,179.678718,179.515950,nan,499.994362,499.994924,-0.035204
0.360000,180.179212,180.015945,nan,499.994341,499.994912,-0.012426
0.361000,180.679706,180.515940,nan,499.994320,499.994918,0.005240
0.362000,181.180201,181.015935,nan,499.994299,499.994890,-0.027856
0.363000,181.680695,181.515930,nan,499.994278,499.994861,-0.029593
0.364000,182.181189,182.015925,nan,499.994257,499.994833,-0.028620
0.365000,182.681684,182.515920,nan,499.994237,499.994793,-0.040249
0.366000,183.182178,183.015914,nan,499.994216,499.994765,-0.028294
0.367000,183.682672,183.515909,nan,499.994195,499.994709,-0.056638
0.368000,184.183166,184.015904,nan,499.994174,499.994710,0.000296
0.369000,184.683660,184.515898,nan,499.994153,499.994693,-0.017648
0.370000,185.184154,185.015893,nan,499.994132,499.994702,0.008369
0.371000,185.684648,185.515888,nan,499.994111,499.994688,-0.014448
0.372000,186.185143,186.015883,nan,499.994090,499.994656,-0.031744
0.373000,186.685637,186.515877,nan,499.994069,499.994645,-0.011879
0.374000,187.186131,187.015872,nan,499.994048,499.994635,-0.010906
0.375000,187.686625,187.515866,nan,499.994027,499.994595,-0.039598
0.376000,188.187119,188.015861,nan,499.994006,499.994574,-0.022031
0.377000,188.687613,188.515856,nan,499.993985,499.994537,-0.037103
0.378000,189.188107,189.015850,nan,499.993964,499.994525,-0.011998
0.379000,189.688601,189.515845,nan,499.993943,499.994501,-0.024642
0.380000,190.189094,190.015839,nan,499.993922,499.994471,-0.030640
0.381000,190.689588,190.515834,nan,499.993901,499.994460,-0.011302
0.382000,191.190082,191.015828,nan,499.993880,499.994444,-0.015877
0.383000,191.690576,191.515822,nan,499.993859,499.994435,-0.010079
0.384000,192.191070,192.015817,nan,499.993838,499.994401,-0.033704
0.385000,192.691564,192.515811,nan,499.993817,499.994363,-0.038962
0.386000,193.192058,193.015806,nan,499.993796,499.994354,-0.009254
0.387000,193.692551,193.515800,nan,499.993775,499.994324,-0.030285
0.388000,194.193045,194.015794,nan,499.993754,499.994310,-0.015203
0.389000,194.693539,194.515789,nan,499.993733,499.994309,-0.001019
0.390000,195.194032,195.015783,nan,499.993711,499.994285,-0.024558
0.391000,195.694526,195.515777,nan,499.993690,499.994286,0.000989
0.392000,196.195020,196.015771,nan,499.993669,499.994286,-0.000567
0.393000,196.695513,196.515766,nan,499.993648,499.994249,-0.036879
0.394000,197.196007,197.015760,nan,499.993627,499.994237,-0.013244
0.395000,197.696501,197.515754,nan,499.993606,499.994233,-0.003763
0.396000,198.196994,198.015748,nan,499.993585,499.994212,-0.021217
0.397000,198.697488,198.515743,nan,499.993564,499.994173,-0.039247
0.398000,199.197981,199.015737,nan,499.993543,499.994160,-0.013968
0.399000,199.698475,199.515731,nan,499.993522,499.994152,-0.008284
0.400000,200.198968,200.015725,nan,499.993501,499.994155,0.002064
0.401000,200.699462,200.515719,nan,499.993480,499.994113,-0.042415
0.402000,201.199955,201.015713,nan,499.993458,499.994111,-0.001922
0.403000,201.700449,201.515707,nan,499.993437,499.994109,-0.002538
